"rt","chain","gloss","trialnum","response","clozeIndex","document","original","condition","age","comments","education","ethnicity","gender","language","languageFree","studyQuestionGuess","workerid"
34017,"22","It thing.",17,"I order a sandwich.",1,"153","It was a good thing that they didn't prepare my meal before giving me the price!","event_only","23","","4","Asian","male","eng",NA,"I think this HIT was about sentence construction.",7
76452,"110","I wonder, however, what we could have done differently to avoid his attitude.",1,"We just wanted a nice meal, but instead we have a terrible service.",3,"050","I wonder, however, what we could have done differently to avoid his attitude.","original","23","it was kinda long for the pay.","4","vietnamese","female","eng+other",NA,"filling in sentences",8
68421,"41","The food was good, the service was good, we had a fun time.",2,"The waiter came and seated us.",0,"243","The food was good, the service was good, we had a fun time.","original","23","it was kinda long for the pay.","4","vietnamese","female","eng+other",NA,"filling in sentences",8
18030,"78","If anyone should know better, you'd think it was him, except for his sense of entitlement.",3,"We ended up with a goodnight.",1,"022","If anyone should know better, you'd think it was him, except for his sense of entitlement.","original","23","it was kinda long for the pay.","4","vietnamese","female","eng+other",NA,"filling in sentences",8
20824,"76","Of course, she breaks the teabag inside.",4,"She has been talking on the phone all night.",0,"033","Of course, she breaks the teabag inside.","original","23","it was kinda long for the pay.","4","vietnamese","female","eng+other",NA,"filling in sentences",8
24512,"40","The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.",5,"I kept waiting but it took awhile to get the waiter's attention.",0,"086","The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","original","23","it was kinda long for the pay.","4","vietnamese","female","eng+other",NA,"filling in sentences",8
28565,"84","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",6,"I have been sitting there eating my food silently.",1,"063","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","original","23","it was kinda long for the pay.","4","vietnamese","female","eng+other",NA,"filling in sentences",8
22754,"22","I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.",7,"The price of the menu was absolutely ridiculous.",0,"153","I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.","original","23","it was kinda long for the pay.","4","vietnamese","female","eng+other",NA,"filling in sentences",8
20040,"10","It's freezing this time of year so I didn't want to sit near the door.",8,"I can tell by the emptiness of the restaurant that it wouldn't be good.",1,"025","It's freezing this time of year so I didn't want to sit near the door.","original","23","it was kinda long for the pay.","4","vietnamese","female","eng+other",NA,"filling in sentences",8
15256,"62","At this point I'm just sticking around to watch the show.",9,"I looked on the table and I noticed a tissue.",0,"151","At this point I'm just sticking around to watch the show.","original","23","it was kinda long for the pay.","4","vietnamese","female","eng+other",NA,"filling in sentences",8
62385,"68","He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.",10,"The man asked the manager, how do they know for sure they were 10 oz.",3,"196","He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.","original","23","it was kinda long for the pay.","4","vietnamese","female","eng+other",NA,"filling in sentences",8
32097,"29","It happened on a bank holiday and I was not at work that day.",11,"I was walking outside and noticed a restaurant.",0,"171","It happened on a bank holiday and I was not at work that day.","original","23","it was kinda long for the pay.","4","vietnamese","female","eng+other",NA,"filling in sentences",8
39508,"41","The food was good, the service was good, we had a fun time.",12,"My family has gotten me to go to a restaurant.",0,"120","The food was good, the service was good, we had a fun time.","original","23","it was kinda long for the pay.","4","vietnamese","female","eng+other",NA,"filling in sentences",8
35546,"88","He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.",13,"However the customers were still upset.",4,"023","He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.","original","23","it was kinda long for the pay.","4","vietnamese","female","eng+other",NA,"filling in sentences",8
43289,"168","I was so embarrassed by the spectacle she made us into that I just wanted to leave.",14,"It may be strange to most people, but we like to keep track of our own food bills.",2,"177","I was so embarrassed by the spectacle she made us into that I just wanted to leave.","original","23","it was kinda long for the pay.","4","vietnamese","female","eng+other",NA,"filling in sentences",8
32314,"86","After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.",15,"I was waving to the waitress that we needed our bill.",0,"248","After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","original","23","it was kinda long for the pay.","4","vietnamese","female","eng+other",NA,"filling in sentences",8
31104,"133","We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.",16,"We were all sitting there impatiently and upset that our food has not arrived.",0,"191","We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.","original","23","it was kinda long for the pay.","4","vietnamese","female","eng+other",NA,"filling in sentences",8
46042,"18","Just to spite him, we remained at our table for nearly 3 hours.",17,"This was the worse experience I ever had a restaurant.",1,"271","Just to spite him, we remained at our table for nearly 3 hours.","original","23","it was kinda long for the pay.","4","vietnamese","female","eng+other",NA,"filling in sentences",8
54710,"84","Seconds come.",1,"The web server was turned on.",0,"063","A few seconds later the server came to check on us and asked how our food was.","caveman","31","This took 10 minutes, way too long for $0.50, I had expected much better from your previous reputation.","4","white","female","eng",NA,"don't know",9
46018,"40","Waitress offer.",2,"Did you get an acceptance letter yet?",0,"086","The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","caveman","31","This took 10 minutes, way too long for $0.50, I had expected much better from your previous reputation.","4","white","female","eng",NA,"don't know",9
39499,"102","We start on way.",3,"I asked to speak to a manager.",7,"151","We started on our way out of the restaurant.","caveman","31","This took 10 minutes, way too long for $0.50, I had expected much better from your previous reputation.","4","white","female","eng",NA,"don't know",9
34661,"48","Judge try in reality.",4,"I run this place.",1,"022","In reality this ""judge'' was trying to hide his martini on the floor.","caveman","31","This took 10 minutes, way too long for $0.50, I had expected much better from your previous reputation.","4","white","female","eng",NA,"don't know",9
16081,"41","Food good.",5,"We decided which restaurant to go to.",0,"243","The food was good, the service was good, we had a fun time.","caveman","31","This took 10 minutes, way too long for $0.50, I had expected much better from your previous reputation.","4","white","female","eng",NA,"don't know",9
23733,"18","Waiter say.",6,"We went to a restaurant with free WiFi.",0,"271","The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","caveman","31","This took 10 minutes, way too long for $0.50, I had expected much better from your previous reputation.","4","white","female","eng",NA,"don't know",9
31026,"68","Manager shout after they.",7,"He leaves without paying.",6,"196","The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.","caveman","31","This took 10 minutes, way too long for $0.50, I had expected much better from your previous reputation.","4","white","female","eng",NA,"don't know",9
14940,"88","I interrupt.",8,"He explains.",1,"023","I interrupted her stating, ""I will go get my manager,'' and walked away.","caveman","31","This took 10 minutes, way too long for $0.50, I had expected much better from your previous reputation.","4","white","female","eng",NA,"don't know",9
25143,"20","Couple run.",9,"They go to a restaurant.",1,"177","A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.","caveman","31","This took 10 minutes, way too long for $0.50, I had expected much better from your previous reputation.","4","white","female","eng",NA,"don't know",9
19398,"133","We wait.",10,"We wanted to win.",0,"191","We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.","caveman","31","This took 10 minutes, way too long for $0.50, I had expected much better from your previous reputation.","4","white","female","eng",NA,"don't know",9
13174,"47","He mention.",11,"They ate their meal.",1,"025","At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.","caveman","31","This took 10 minutes, way too long for $0.50, I had expected much better from your previous reputation.","4","white","female","eng",NA,"don't know",9
15547,"41","Food good.",12,"We picked a restaurant.",0,"120","The food was good, the service was good, we had a fun time.","caveman","31","This took 10 minutes, way too long for $0.50, I had expected much better from your previous reputation.","4","white","female","eng",NA,"don't know",9
17309,"76","She break.",13,"She doesn't know what to do.",0,"033","Of course, she breaks the teabag inside.","caveman","31","This took 10 minutes, way too long for $0.50, I had expected much better from your previous reputation.","4","white","female","eng",NA,"don't know",9
20779,"22","I order.",14,"It was a mystery.",0,"153","I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.","caveman","31","This took 10 minutes, way too long for $0.50, I had expected much better from your previous reputation.","4","white","female","eng",NA,"don't know",9
14047,"86","I order.",15,"The restaurant is very busy.",1,"248","When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.","caveman","31","This took 10 minutes, way too long for $0.50, I had expected much better from your previous reputation.","4","white","female","eng",NA,"don't know",9
17557,"110","Dish not hot.",16,"She wants us to buy an RV.",1,"050","The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.","caveman","31","This took 10 minutes, way too long for $0.50, I had expected much better from your previous reputation.","4","white","female","eng",NA,"don't know",9
21749,"58","It freezing.",17,"I went to a restaurant.",0,"171","It's freezing this time of year so I didn't want to sit near the door.","caveman","31","This took 10 minutes, way too long for $0.50, I had expected much better from your previous reputation.","4","white","female","eng",NA,"don't know",9
77105,"76","She break.",1,"Where to go for dinner?As usual,",0,"033","Of course, she breaks the teabag inside.","event_only","33","","3","Wh","female","eng+other",NA,"Not sure",10
64405,"78","You think.",2,"We allow our server to give us more details about the special of the day",1,"022","If anyone should know better, you'd think it was him, except for his sense of entitlement.","event_only","33","","3","Wh","female","eng+other",NA,"Not sure",10
39907,"86","I order.",3,"Something went terribly wrong",1,"248","When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.","event_only","33","","3","Wh","female","eng+other",NA,"Not sure",10
69373,"29","It pour.",4,"It happened that that particular Mondays that Chinese restaurant was c losed",1,"171","It was also pouring with rain outside and the restaurant was very busy with only about two tables free.","event_only","33","","3","Wh","female","eng+other",NA,"Not sure",10
42058,"110","I wonder.",5,"I refused to pay the bill!",3,"050","I wonder, however, what we could have done differently to avoid his attitude.","event_only","33","","3","Wh","female","eng+other",NA,"Not sure",10
39915,"125","He stand.",6,"That was the make or break moment",1,"120","He was standing next to me, but I did my best to concentrate on my soda and be polite.","event_only","33","","3","Wh","female","eng+other",NA,"Not sure",10
35890,"168","Husband decide.",7,"My pants somehow dropped",0,"177","My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.","event_only","33","","3","Wh","female","eng+other",NA,"Not sure",10
33484,"10","It freezing.",8,"And indeed it was so.",1,"025","It's freezing this time of year so I didn't want to sit near the door.","event_only","33","","3","Wh","female","eng+other",NA,"Not sure",10
58718,"84","Server start.",9,"the moment we had been waiting for finally arrived",1,"063","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","event_only","33","","3","Wh","female","eng+other",NA,"Not sure",10
15956,"133","We wait.",10,"Things did not seem clear.",0,"191","We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.","event_only","33","","3","Wh","female","eng+other",NA,"Not sure",10
48794,"22","It thing.",11,"I could not wait to taste that delicious burrito",1,"153","It was a good thing that they didn't prepare my meal before giving me the price!","event_only","33","","3","Wh","female","eng+other",NA,"Not sure",10
23847,"62","I stick.",12,"What happened next was really funny.",0,"151","At this point I'm just sticking around to watch the show.","event_only","33","","3","Wh","female","eng+other",NA,"Not sure",10
23011,"68","Manager shout.",13,"He was not at all satisfied",6,"196","The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.","event_only","33","","3","Wh","female","eng+other",NA,"Not sure",10
35064,"41","We people.",14,"We were very hungry",1,"243","We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.","event_only","33","","3","Wh","female","eng+other",NA,"Not sure",10
50512,"40","I have.",15,"We decided not to have a dessert",1,"086","I always had to speak up and try to get her attention for a refill.","event_only","33","","3","Wh","female","eng+other",NA,"Not sure",10
50798,"88","He tell.",16,"He comes back to the table",4,"023","He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.","event_only","33","","3","Wh","female","eng+other",NA,"Not sure",10
16579,"18","I tip.",17,"We made a good choice",2,"271","I usually tip well, but I gave the waiter 12%, which actually was too much.","event_only","33","","3","Wh","female","eng+other",NA,"Not sure",10
25492,"58","It freezing.",1,"I come.",0,"171","It's freezing this time of year so I didn't want to sit near the door.","caveman","32","","3","white","male","eng",NA,"",11
16898,"76","She decide.",2,"I break.",1,"033","At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''","caveman","32","","3","white","male","eng",NA,"",11
16243,"22","It thing.",3,"I eat.",1,"153","It was a good thing that they didn't prepare my meal before giving me the price!","caveman","32","","3","white","male","eng",NA,"",11
56479,"11","We be.",4,"Son bad.",3,"191","We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.","caveman","32","","3","white","male","eng",NA,"",11
24693,"18","We remain for hour to spite.",5,"I pay.",1,"271","Just to spite him, we remained at our table for nearly 3 hours.","caveman","32","","3","white","male","eng",NA,"",11
26426,"102","We start on way.",6,"Salad back.",7,"151","We started on our way out of the restaurant.","caveman","32","","3","white","male","eng",NA,"",11
29146,"86","I order.",7,"They order.",1,"248","When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.","caveman","32","","3","white","male","eng",NA,"",11
17621,"68","Manager shout after they.",8,"He leave.",6,"196","The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.","caveman","32","","3","white","male","eng",NA,"",11
16501,"40","Waitress offer.",9,"I like.",0,"086","The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","caveman","32","","3","white","male","eng",NA,"",11
10261,"84","Seconds come.",10,"Food come.",0,"063","A few seconds later the server came to check on us and asked how our food was.","caveman","32","","3","white","male","eng",NA,"",11
18565,"41","Food good.",11,"We hungry.",0,"120","The food was good, the service was good, we had a fun time.","caveman","32","","3","white","male","eng",NA,"",11
12453,"110","I wonder.",12,"She mad.",3,"050","I wonder, however, what we could have done differently to avoid his attitude.","caveman","32","","3","white","male","eng",NA,"",11
12785,"48","Judge try in reality.",13,"I work.",1,"022","In reality this ""judge'' was trying to hide his martini on the floor.","caveman","32","","3","white","male","eng",NA,"",11
9899,"88","He tell.",14,"I lie.",4,"023","He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.","caveman","32","","3","white","male","eng",NA,"",11
11113,"10","It be.",15,"It cold.",0,"025","It was off to a bad start as soon as I walked in the door.","caveman","32","","3","white","male","eng",NA,"",11
14416,"41","We people.",16,"We eat.",1,"243","We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.","caveman","32","","3","white","male","eng",NA,"",11
8171,"168","I embarrassed.",17,"She mad.",2,"177","I was so embarrassed by the spectacle she made us into that I just wanted to leave.","caveman","32","","3","white","male","eng",NA,"",11
41071,"78","We not allow.",1,"You think you was correct, but really you had it all wrong.",0,"022","As I said, we did not allow it to tarnish our evening.","caveman","19","","2","White","male","eng",NA,"To see if someone could accurately guess a sentence with few clues to the surrounding sentences.",12
44601,"88","He tell.",2,"Then he looks at what he took out of my hands.",4,"023","He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.","caveman","19","","2","White","male","eng",NA,"To see if someone could accurately guess a sentence with few clues to the surrounding sentences.",12
25421,"40","Waitress offer.",3,"I have never felt so lively, today was a wonderful day.",0,"086","The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","caveman","19","","2","White","male","eng",NA,"To see if someone could accurately guess a sentence with few clues to the surrounding sentences.",12
19622,"168","Husband decide.",4,"When I walked into the cafeteria I dropped my plate.",0,"177","My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.","caveman","19","","2","White","male","eng",NA,"To see if someone could accurately guess a sentence with few clues to the surrounding sentences.",12
18111,"110","Dish not hot.",5,"My wife is talking to me about retiring from work.",1,"050","The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.","caveman","19","","2","White","male","eng",NA,"To see if someone could accurately guess a sentence with few clues to the surrounding sentences.",12
15583,"125","He stand to i.",6,"The waiter asks me what I would like to order.",1,"120","He was standing next to me, but I did my best to concentrate on my soda and be polite.","caveman","19","","2","White","male","eng",NA,"To see if someone could accurately guess a sentence with few clues to the surrounding sentences.",12
20247,"29","It happen on holiday.",7,"As I walked out side the rain began to pour like mad.",0,"171","It happened on a bank holiday and I was not at work that day.","caveman","19","","2","White","male","eng",NA,"To see if someone could accurately guess a sentence with few clues to the surrounding sentences.",12
14053,"22","It thing.",8,"I was in the drive-thru at Mcdonalds, I placed my order.",1,"153","It was a good thing that they didn't prepare my meal before giving me the price!","caveman","19","","2","White","male","eng",NA,"To see if someone could accurately guess a sentence with few clues to the surrounding sentences.",12
39333,"86","I order.",9,"I sat down at the table in the restaurant.",0,"248","After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","caveman","19","","2","White","male","eng",NA,"To see if someone could accurately guess a sentence with few clues to the surrounding sentences.",12
53781,"68","Manager shout after they.",10,"After he threw the ticket he stormed out of the place.",6,"196","The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.","caveman","19","","2","White","male","eng",NA,"To see if someone could accurately guess a sentence with few clues to the surrounding sentences.",12
16454,"41","We people.",11,"We talk while we walk towards the table.",1,"243","We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.","caveman","19","","2","White","male","eng",NA,"To see if someone could accurately guess a sentence with few clues to the surrounding sentences.",12
17037,"84","Seconds come.",12,"We stop talking at the waiter approaches the table.",0,"063","A few seconds later the server came to check on us and asked how our food was.","caveman","19","","2","White","male","eng",NA,"To see if someone could accurately guess a sentence with few clues to the surrounding sentences.",12
17990,"76","She break.",13,"She had just to make her decision on the menu but was getting close.",0,"033","Of course, she breaks the teabag inside.","caveman","19","","2","White","male","eng",NA,"To see if someone could accurately guess a sentence with few clues to the surrounding sentences.",12
9726,"10","It freezing.",14,"It was a great experience.",1,"025","It's freezing this time of year so I didn't want to sit near the door.","caveman","19","","2","White","male","eng",NA,"To see if someone could accurately guess a sentence with few clues to the surrounding sentences.",12
15203,"62","I stick.",15,"I looked down at my salad and noticed something.",0,"151","At this point I'm just sticking around to watch the show.","caveman","19","","2","White","male","eng",NA,"To see if someone could accurately guess a sentence with few clues to the surrounding sentences.",12
21598,"18","Waiter say.",16,"We started another conversation while we ate.",0,"271","The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","caveman","19","","2","White","male","eng",NA,"To see if someone could accurately guess a sentence with few clues to the surrounding sentences.",12
13413,"11","We be.",17,"I told my son not to do that again.",3,"191","We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.","caveman","19","","2","White","male","eng",NA,"To see if someone could accurately guess a sentence with few clues to the surrounding sentences.",12
76474,"11","We be.",1,"But I told him there would be certain conditions he would need to meet.",3,"191","We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.","caveman","35","","4","white","female","eng",NA,"How people think creatively.",13
35439,"20","Couple run.",2,"It would be a dream come true despite the details to work out.",1,"177","A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.","caveman","35","","4","white","female","eng",NA,"How people think creatively.",13
20983,"125","He stand to i.",3,"She said not to worry about it.",1,"120","He was standing next to me, but I did my best to concentrate on my soda and be polite.","caveman","35","","4","white","female","eng",NA,"How people think creatively.",13
22579,"62","I stick.",4,"We left at the same time.",0,"151","At this point I'm just sticking around to watch the show.","caveman","35","","4","white","female","eng",NA,"How people think creatively.",13
15309,"78","You think.",5,"We had to leave our dog outside in the car.",1,"022","If anyone should know better, you'd think it was him, except for his sense of entitlement.","caveman","35","","4","white","female","eng",NA,"How people think creatively.",13
16260,"76","She break.",6,"We discussed it at length. ",0,"033","Of course, she breaks the teabag inside.","caveman","35","","4","white","female","eng",NA,"How people think creatively.",13
16064,"86","I order.",7,"We were in a hurry.",1,"248","When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.","caveman","35","","4","white","female","eng",NA,"How people think creatively.",13
18072,"68","Manager shout after they.",8,"I thought to myself that it was a waste of food.",6,"196","The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.","caveman","35","","4","white","female","eng",NA,"How people think creatively.",13
19925,"41","We people.",9,"The atmosphere was warm and welcoming.",1,"243","We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.","caveman","35","","4","white","female","eng",NA,"How people think creatively.",13
13219,"88","He tell.",10,"I thought about it for some time.",5,"023","He told them they were no longer welcome.","caveman","35","","4","white","female","eng",NA,"How people think creatively.",13
14398,"18","We remain for hour to spite.",11,"The entire experience was lovely.",1,"271","Just to spite him, we remained at our table for nearly 3 hours.","caveman","35","","4","white","female","eng",NA,"How people think creatively.",13
20636,"40","Waitress offer.",12,"Do have any batteries left?",0,"086","The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","caveman","35","","4","white","female","eng",NA,"How people think creatively.",13
18746,"29","It pour with rain.",13,"You never know what to expect this time of year.",1,"171","It was also pouring with rain outside and the restaurant was very busy with only about two tables free.","caveman","35","","4","white","female","eng",NA,"How people think creatively.",13
25375,"22","It thing.",14,"We relaxed and took our time when the meal arrived.",1,"153","It was a good thing that they didn't prepare my meal before giving me the price!","caveman","35","","4","white","female","eng",NA,"How people think creatively.",13
31253,"110","I refuse.",15,"She usually doesn't like a sink of dirty dishes being left.",2,"050","I refused but also declined to tip the culprit.","caveman","35","","4","white","female","eng",NA,"How people think creatively.",13
21758,"84","Server start.",16,"I stopped the watch just in time.",1,"063","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","caveman","35","","4","white","female","eng",NA,"How people think creatively.",13
13086,"47","He mention.",17,"We both ordered the same thing.",1,"025","At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.","caveman","35","","4","white","female","eng",NA,"How people think creatively.",13
59132,"68","He throw.",1,"We asked for our meal to be comped.",5,"196","He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''","event_only","34","no","4","Asian","female","eng+other",NA,"I don't know",14
84165,"68","He throw.",1,"They asked for their meal to be comped.",5,"196","He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''","event_only","34","no","4","Asian","female","eng+other",NA,"I don't know",14
18106,"168","Husband decide.",2,"I dropped the plate.",0,"177","My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.","event_only","34","no","4","Asian","female","eng+other",NA,"I don't know",14
20378,"11","We be.",3,"I told my son to sit down or else we'd leave.",3,"191","We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.","event_only","34","no","4","Asian","female","eng+other",NA,"I don't know",14
15266,"88","He tell.",4,"I asked for the specials.",4,"023","He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.","event_only","34","no","4","Asian","female","eng+other",NA,"I don't know",14
43657,"78","You think.",5,"They asked if we would switch tables. ",1,"022","If anyone should know better, you'd think it was him, except for his sense of entitlement.","event_only","34","no","4","Asian","female","eng+other",NA,"I don't know",14
15896,"18","Waiter say.",6,"We finished our meal and waited for the bill.",0,"271","The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","event_only","34","no","4","Asian","female","eng+other",NA,"I don't know",14
13254,"102","Salad deliver.",7,"Our waited asked how our food tasted.",5,"151","The salads with the dinners were delivered before the appetizer we ordered.","event_only","34","no","4","Asian","female","eng+other",NA,"I don't know",14
16303,"110","I wonder.",8,"The waiter brought us free dessert anyway.",3,"050","I wonder, however, what we could have done differently to avoid his attitude.","event_only","34","no","4","Asian","female","eng+other",NA,"I don't know",14
14307,"41","We people.",9,"We asked for a table for two.",1,"243","We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.","event_only","34","no","4","Asian","female","eng+other",NA,"I don't know",14
11646,"125","He stand.",10,"She looked over the menu.",1,"120","He was standing next to me, but I did my best to concentrate on my soda and be polite.","event_only","34","no","4","Asian","female","eng+other",NA,"I don't know",14
10646,"76","She break.",11,"The waiter read us the specials.",0,"033","Of course, she breaks the teabag inside.","event_only","34","no","4","Asian","female","eng+other",NA,"I don't know",14
13261,"40","Waitress offer.",12,"Our waiter asked if we'd been here before.",0,"086","The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","event_only","34","no","4","Asian","female","eng+other",NA,"I don't know",14
5661,"84","Seconds come.",13,"We sat down.",0,"063","A few seconds later the server came to check on us and asked how our food was.","event_only","34","no","4","Asian","female","eng+other",NA,"I don't know",14
18135,"22","It thing.",14,"I looked over the menu.",1,"153","It was a good thing that they didn't prepare my meal before giving me the price!","event_only","34","no","4","Asian","female","eng+other",NA,"I don't know",14
13045,"10","It be.",15,"The restaurant had the AC turned up high.",0,"025","It was off to a bad start as soon as I walked in the door.","event_only","34","no","4","Asian","female","eng+other",NA,"I don't know",14
10508,"58","It freezing.",16,"We quickly got a table. ",0,"171","It's freezing this time of year so I didn't want to sit near the door.","event_only","34","no","4","Asian","female","eng+other",NA,"I don't know",14
18564,"86","I order.",17,"We made a reservation and got a table quickly.",0,"248","After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","event_only","34","no","4","Asian","female","eng+other",NA,"I don't know",14
33953,"22","It thing.",1,"Why do you care about what I order",1,"153","It was a good thing that they didn't prepare my meal before giving me the price!","caveman","21","no","2","white","female","eng",NA,"not sure",15
10915,"84","Server start.",2,"You'll be able to see in seconds come",1,"063","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","caveman","21","no","2","white","female","eng",NA,"not sure",15
21558,"168","I embarrassed.",3,"As for what women order, a lot of them let their husband decide.",2,"177","I was so embarrassed by the spectacle she made us into that I just wanted to leave.","caveman","21","no","2","white","female","eng",NA,"not sure",15
26736,"110","I refuse.",4,"Why would my wife retire.",2,"050","I refused but also declined to tip the culprit.","caveman","21","no","2","white","female","eng",NA,"not sure",15
15250,"68","He throw.",5,"WHo could this couple be.",5,"196","He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''","caveman","21","no","2","white","female","eng",NA,"not sure",15
